,pointID,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,lon,lat,coordinates,OSMID,OSM_lon,OSM_lat,geometry
60,59,"Block 3002, Block Group 3, Census Tract 7, Kings County, New York",339,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470007003002,8,-73.9951390195452,40.690827517979756,"(40.690827517979756,-73.9951390195452)",42517467,-73.995064,40.6911799,POINT (-73.995064 40.6911799)
61,60,"Block 3002, Block Group 3, Census Tract 7, Kings County, New York",339,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470007003002,8,-73.9951390195452,40.690827517979756,"(40.690827517979756,-73.9951390195452)",42517467,-73.995064,40.6911799,POINT (-73.995064 40.6911799)
62,61,"Block 3003, Block Group 3, Census Tract 7, Kings County, New York",270,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470007003003,6,-73.99416748709879,40.691844743106245,"(40.691844743106245,-73.99416748709879)",42502651,-73.9937273,40.6915191,POINT (-73.9937273 40.6915191)
63,62,"Block 1000, Block Group 1, Census Tract 9, Kings County, New York",260,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009001000,6,-73.99148769714412,40.69442149604549,"(40.69442149604549,-73.99148769714412)",42476732,-73.9906767,40.6946026,POINT (-73.99067669999999 40.6946026)
64,63,"Block 1001, Block Group 1, Census Tract 9, Kings County, New York",793,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009001001,17,-73.99159633363729,40.69366269445704,"(40.69366269445704,-73.99159633363729)",42502645,-73.9927358,40.6936042,POINT (-73.99273580000001 40.6936042)
65,64,"Block 1002, Block Group 1, Census Tract 9, Kings County, New York",112,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009001002,3,-73.992305928477,40.693326252792545,"(40.693326252792545,-73.992305928477)",42502645,-73.9927358,40.6936042,POINT (-73.99273580000001 40.6936042)
66,65,"Block 1003, Block Group 1, Census Tract 9, Kings County, New York",432,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009001003,10,-73.99220634645354,40.692351622217245,"(40.692351622217245,-73.99220634645354)",42502648,-73.9930918,40.6928482,POINT (-73.9930918 40.6928482)
67,66,"Block 1004, Block Group 1, Census Tract 9, Kings County, New York",314,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009001004,7,-73.99055648545452,40.69170599575602,"(40.69170599575602,-73.99055648545452)",42497591,-73.9914484,40.6915966,POINT (-73.9914484 40.6915966)
68,67,"Block 1008, Block Group 1, Census Tract 9, Kings County, New York",735,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009001008,16,-73.99020400519733,40.69068976245089,"(40.69068976245089,-73.99020400519733)",42515825,-73.9898221,40.6903886,POINT (-73.9898221 40.6903886)
69,68,"Block 1009, Block Group 1, Census Tract 9, Kings County, New York",397,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009001009,9,-73.99259247457985,40.69156581173834,"(40.69156581173834,-73.99259247457985)",42502651,-73.9937273,40.6915191,POINT (-73.9937273 40.6915191)
