,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,geometry,lon,lat
29,"Block 4002, Block Group 4, Census Tract 3.01, Kings County, New York",356,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003014002,8,POINT (-73.99783631486514 40.69478477559923),-73.99783631486514,40.69478477559923
30,"Block 4003, Block Group 4, Census Tract 3.01, Kings County, New York",399,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003014003,9,POINT (-73.99806084228722 40.69415828367736),-73.99806084228722,40.69415828367736
31,"Block 5002, Block Group 5, Census Tract 3.01, Kings County, New York",58,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015002,2,POINT (-73.99645112631514 40.69874987490507),-73.99645112631514,40.69874987490507
32,"Block 5003, Block Group 5, Census Tract 3.01, Kings County, New York",307,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015003,7,POINT (-73.99694783370779 40.6977061352041),-73.9969478337078,40.6977061352041
33,"Block 5004, Block Group 5, Census Tract 3.01, Kings County, New York",38,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015004,1,POINT (-73.99762103650978 40.69609092626489),-73.99762103650978,40.696090926264894
34,"Block 5005, Block Group 5, Census Tract 3.01, Kings County, New York",101,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015005,3,POINT (-73.99792788784372 40.69543382400244),-73.99792788784372,40.69543382400244
35,"Block 1000, Block Group 1, Census Tract 5.01, Kings County, New York",1663,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005011000,36,POINT (-73.99365666347497 40.69799400660104),-73.99365666347497,40.69799400660104
36,"Block 1001, Block Group 1, Census Tract 5.01, Kings County, New York",886,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005011001,19,POINT (-73.99417314070685 40.69692050381276),-73.99417314070685,40.696920503812755
37,"Block 2000, Block Group 2, Census Tract 5.01, Kings County, New York",540,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005012000,12,POINT (-73.99484827459074 40.69600840274381),-73.99484827459074,40.696008402743814
38,"Block 2001, Block Group 2, Census Tract 5.01, Kings County, New York",511,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005012001,11,POINT (-73.99491759415042 40.6953417891197),-73.99491759415042,40.6953417891197
39,"Block 3000, Block Group 3, Census Tract 5.01, Kings County, New York",170,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005013000,4,POINT (-73.99523566656805 40.69467400568953),-73.99523566656805,40.69467400568953
40,"Block 3001, Block Group 3, Census Tract 5.01, Kings County, New York",634,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005013001,14,POINT (-73.99564386033458 40.69382024691306),-73.99564386033458,40.69382024691306
41,"Block 1000, Block Group 1, Census Tract 5.02, Kings County, New York",895,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005021000,19,POINT (-73.99230186168978 40.69567578499996),-73.99230186168978,40.69567578499996
42,"Block 1001, Block Group 1, Census Tract 5.02, Kings County, New York",520,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005021001,12,POINT (-73.99295251356133 40.69654797794226),-73.99295251356133,40.69654797794226
43,"Block 2000, Block Group 2, Census Tract 5.02, Kings County, New York",203,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005022000,5,POINT (-73.99319919820309 40.69486952922365),-73.99319919820309,40.694869529223645
